product_id,hashtag
0,hashtag0,hashtag5,hashtag6,hashtag8,hashtag4,hashtag9
1,hashtag9,hashtag5,hashtag3,hashtag4,hashtag0,hashtag8,hashtag6,hashtag7
2,hashtag6,hashtag2,hashtag1
3,hashtag9,hashtag2,hashtag4
4,hashtag1,hashtag0,hashtag2
5,hashtag9,hashtag2,hashtag1
6,hashtag1,hashtag0
7,hashtag9,hashtag5,hashtag3
8,hashtag2,hashtag6,hashtag7,hashtag4,hashtag8,hashtag0,hashtag3,hashtag5
9,hashtag3,hashtag8,hashtag6,hashtag0,hashtag7,hashtag9,hashtag4,hashtag5
10,hashtag9,hashtag4,hashtag1
11,hashtag6,hashtag3,hashtag7
12,hashtag8,hashtag3,hashtag6
13,hashtag5,hashtag8,hashtag6,hashtag3,hashtag9,hashtag2
14,hashtag5,hashtag7,hashtag2,hashtag9,hashtag0,hashtag6,hashtag4,hashtag8
15,hashtag1,hashtag0,hashtag6
16,hashtag9,hashtag2,hashtag4
17,hashtag5,hashtag0,hashtag8,hashtag9,hashtag4
18,hashtag8,hashtag1,hashtag0
19,hashtag9,hashtag1,hashtag7
